id;year;month;hour;weekday;severity;light_condition;street_condition;bicycle;car;pedestrian;bike;truck;other;lng;lat;datetime;date
44;2016;5;16;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1473657080000;48,9975218550000;2016-05-01T16:00:00Z;2016-05-01
45;2016;6;15;Sa;Leicht;Tageslicht;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0991506150000;49,0280694110000;2016-06-01T15:00:00Z;2016-06-01
46;2016;5;1;Di;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,1366723290000;48,9960591220000;2016-05-01T01:00:00Z;2016-05-01
47;2016;6;15;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,0805802170000;48,9911686390000;2016-06-01T15:00:00Z;2016-06-01
48;2016;6;11;Sa;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0951333160000;49,0282427460000;2016-06-01T11:00:00Z;2016-06-01
49;2016;6;1;Mi;Schwer;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0697640020000;49,0245257790000;2016-06-01T01:00:00Z;2016-06-01
50;2016;6;8;Mi;Leicht;Tageslicht;Trocken;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;12,1598674610000;48,9994907410000;2016-06-01T08:00:00Z;2016-06-01
51;2016;6;23;Di;Schwer;Dunkelheit;Trocken;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;12,1104785130000;48,9924265800000;2016-06-01T23:00:00Z;2016-06-01
52;2016;6;10;Di;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0970043660000;49,0282388210000;2016-06-01T10:00:00Z;2016-06-01
53;2016;6;8;Di;Leicht;Tageslicht;Trocken;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;12,1140852090000;49,0294675710000;2016-06-01T08:00:00Z;2016-06-01
54;2016;6;16;Di;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1645948310000;49,0000232860000;2016-06-01T16:00:00Z;2016-06-01
55;2016;6;14;Mo;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1808954830000;49,0021726870000;2016-06-01T14:00:00Z;2016-06-01
56;2016;6;18;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0896251860000;49,0284015090000;2016-06-01T18:00:00Z;2016-06-01
57;2016;6;8;Mo;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0681479070000;49,0196090760000;2016-06-01T08:00:00Z;2016-06-01
58;2016;6;12;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,0800100600000;49,0299260200000;2016-06-01T12:00:00Z;2016-06-01
59;2016;6;16;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,0802331990000;49,0300138920000;2016-06-01T16:00:00Z;2016-06-01
60;2016;7;10;Sa;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1035787930000;48,9917383220000;2016-07-01T10:00:00Z;2016-07-01
61;2016;7;20;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;12,1251164260000;49,0138943750000;2016-07-01T20:00:00Z;2016-07-01
62;2016;7;15;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1019502400000;49,0392421650000;2016-07-01T15:00:00Z;2016-07-01
63;2016;7;12;Di;Leicht;Dämmerung;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0819893700000;49,0311484580000;2016-07-01T12:00:00Z;2016-07-01
64;2016;7;22;Fr;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;12,1331182460000;48,9967407000000;2016-07-01T22:00:00Z;2016-07-01
65;2016;7;16;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1706853750000;49,0005288740000;2016-07-01T16:00:00Z;2016-07-01
66;2016;7;1;Do;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0798854630000;49,0300237530000;2016-07-01T01:00:00Z;2016-07-01
67;2016;7;19;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;12,1104106860000;49,0138032740000;2016-07-01T19:00:00Z;2016-07-01
68;2016;7;12;So;Leicht;Tageslicht;Nass/Feucht;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;12,1506676320000;49,0246179160000;2016-07-01T12:00:00Z;2016-07-01
69;2016;7;20;So;Leicht;Dämmerung;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0803355840000;49,0300575910000;2016-07-01T20:00:00Z;2016-07-01
70;2016;8;21;Di;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1270148950000;49,0013860110000;2016-08-01T21:00:00Z;2016-08-01
71;2016;8;12;Fr;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0780967730000;49,0305047640000;2016-08-01T12:00:00Z;2016-08-01
72;2016;8;10;So;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1171920520000;48,9931811790000;2016-08-01T10:00:00Z;2016-08-01
73;2016;8;19;Mo;Schwer;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0461643940000;49,0277776200000;2016-08-01T19:00:00Z;2016-08-01
74;2016;8;13;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0629491770000;49,0012122000000;2016-08-01T13:00:00Z;2016-08-01
75;2016;8;12;Fr;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0641051340000;49,0009879790000;2016-08-01T12:00:00Z;2016-08-01
76;2016;8;13;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1247335410000;49,0025721000000;2016-08-01T13:00:00Z;2016-08-01
77;2016;8;12;Mo;Schwer;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1135174050000;49,0242245080000;2016-08-01T12:00:00Z;2016-08-01
78;2016;8;17;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;12,1115661630000;49,0164522820000;2016-08-01T17:00:00Z;2016-08-01
79;2016;8;14;Di;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1531909880000;48,9985138630000;2016-08-01T14:00:00Z;2016-08-01
80;2016;9;15;Di;Leicht;Tageslicht;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1248895530000;49,0025019860000;2016-09-01T15:00:00Z;2016-09-01
81;2016;9;11;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0805961360000;48,9911662870000;2016-09-01T11:00:00Z;2016-09-01
82;2016;9;22;Do;Leicht;Dunkelheit;Trocken;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;12,0818864410000;49,0293392030000;2016-09-01T22:00:00Z;2016-09-01
83;2016;9;12;Fr;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0614236050000;49,0050345500000;2016-09-01T12:00:00Z;2016-09-01
84;2016;9;14;So;Leicht;Tageslicht;Trocken;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;12,1019721460000;49,0391349970000;2016-09-01T14:00:00Z;2016-09-01
85;2016;9;13;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;12,0691390880000;49,0244079970000;2016-09-01T13:00:00Z;2016-09-01
86;2016;9;15;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1413109740000;48,9967463680000;2016-09-01T15:00:00Z;2016-09-01
87;2016;9;15;Fr;Leicht;Tageslicht;Trocken;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;12,1545345910000;48,9872522260000;2016-09-01T15:00:00Z;2016-09-01
88;2016;9;10;Di;Leicht;Tageslicht;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1205351950000;49,0046057220000;2016-09-01T10:00:00Z;2016-09-01
89;2016;9;19;So;Leicht;Dämmerung;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1119284560000;49,0171947900000;2016-09-01T19:00:00Z;2016-09-01
90;2016;9;19;Fr;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0690406930000;49,0241568840000;2016-09-01T19:00:00Z;2016-09-01
91;2016;10;11;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1809123610000;49,0021494200000;2016-10-01T11:00:00Z;2016-10-01
92;2016;10;6;Mo;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1285429730000;49,0573383750000;2016-10-01T06:00:00Z;2016-10-01
93;2016;10;13;Di;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;12,1067398700000;48,9919505020000;2016-10-01T13:00:00Z;2016-10-01
94;2016;10;16;Di;Leicht;Dämmerung;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0696786620000;49,0254284090000;2016-10-01T16:00:00Z;2016-10-01
95;2016;10;10;Mo;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,0778736010000;48,9912146780000;2016-10-01T10:00:00Z;2016-10-01
96;2016;10;14;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0809949990000;49,0304113560000;2016-10-01T14:00:00Z;2016-10-01
97;2016;10;11;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,0900905280000;49,0284597760000;2016-10-01T11:00:00Z;2016-10-01
98;2016;11;14;Fr;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1020199640000;49,0459018770000;2016-11-01T14:00:00Z;2016-11-01
99;2016;11;18;Do;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0982424350000;49,0461318530000;2016-11-01T18:00:00Z;2016-11-01
100;2016;11;5;So;Leicht;Dunkelheit;Winterglatt;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1001771460000;49,0492424530000;2016-11-01T05:00:00Z;2016-11-01
101;2016;11;16;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,0949582380000;48,9911550880000;2016-11-01T16:00:00Z;2016-11-01
102;2016;11;16;Fr;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0683453290000;49,0195676250000;2016-11-01T16:00:00Z;2016-11-01
